"url_bulletins","year","month","code_region","name_region","lat","lon","new_unclassified_cases","total_unclassified_cases","new_no_cases","total_no_cases","new_possible_cases","total_possible_cases","new_probable_cases","total_probable_cases","new_confirmed_cases","total_confirmed_cases","new_cases","total_cases"
"https://github.com/fbranda/measles/blob/main/Italy/2015/bulletins/R%26M_News_2015_12.pdf",2015,1,1,"Piedmont",45.0732745,7.680687483,0,0,0,0,1,1,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,3,"Lombardy",45.46679409,9.190347404,0,0,0,0,1,1,0,0,2,2,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,21,"AP Bolzano",46.49933453,11.35662422,0,0,0,0,0,0,0,0,1,1,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,22,"AP Trento",46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,5,"Veneto",45.43490485,12.33845213,0,0,0,0,0,0,0,0,1,1,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,7,"Liguria",44.41149315,8.9326992,0,0,0,0,2,2,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,8,"Emilia-Romagna",44.49436681,11.3417208,1,1,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,9,"Tuscany",43.76923077,11.25588885,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,11,"Marche",43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,12,"Lazio",41.89277044,12.48366722,0,0,0,0,3,3,0,0,1,1,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,15,"Campania",40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,16,"Apulia",41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,19,"Sicily",38.11569725,13.3623566999999,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_12.pdf",2015,1,20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,1,"Piedmont",45.0732745,7.680687483,0,0,0,0,0,1,0,0,0,0,1,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,3,"Lombardy",45.46679409,9.190347404,0,0,1,1,4,5,1,1,0,2,8,8
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,21,"AP Bolzano",46.49933453,11.35662422,0,0,0,0,0,0,0,0,0,1,1,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,22,"AP Trento",46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,5,"Veneto",45.43490485,12.33845213,0,0,0,1,0,0,0,0,0,10,0,10
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,7,"Liguria",44.41149315,8.9326992,0,0,0,1,0,2,0,0,0,1,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,8,"Emilia-Romagna",44.49436681,11.3417208,-1,0,3,3,3,3,3,3,3,3,3,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,9,"Tuscany",43.76923077,11.25588885,1,1,0,0,0,0,0,0,0,1,0,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,11,"Marche",43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,12,"Lazio",41.89277044,12.48366722,0,0,0,0,0,3,0,0,1,2,5,5
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,15,"Campania",40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,16,"Apulia",41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,0,1,1,0,0,1,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,19,"Sicily",38.11569725,13.3623566999999,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_13.pdf",2015,2,20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,1,"Piedmont",45.0732745,7.680687483,0,0,0,3,0,1,0,0,0,0,0,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,3,"Lombardy",45.46679409,9.190347404,0,0,0,3,0,6,0,1,0,2,0,9
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,21,"AP Bolzano",46.49933453,11.35662422,0,0,0,0,1,1,1,1,1,2,3,4
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,22,"AP Trento",46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,5,"Veneto",45.43490485,12.33845213,0,0,0,2,0,0,0,1,0,15,0,16
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,7,"Liguria",44.41149315,8.9326992,0,0,0,3,0,2,0,0,0,1,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,8,"Emilia-Romagna",44.49436681,11.3417208,0,0,4,7,-13,-10,-7,-4,-1,2,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,9,"Tuscany",43.76923077,11.25588885,0,1,0,0,0,0,0,0,0,1,0,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,11,"Marche",43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,12,"Lazio",41.89277044,12.48366722,0,0,5,5,1,4,0,0,0,2,1,6
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,15,"Campania",40.83956555,14.25084984,0,0,0,0,0,0,1,1,1,1,2,2
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,16,"Apulia",41.12559576,16.86736689,0,0,2,2,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,18,"Calabria",38.90597598,16.59440194,0,0,0,0,1,1,-1,0,1,1,1,2
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,19,"Sicily",38.11569725,13.3623566999999,0,0,0,0,0,0,0,0,1,1,1,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_14.pdf",2015,3,20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,1,"Piedmont",45.0732745,7.680687483,0,0,1,4,-1,0,0,0,0,0,-1,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,3,"Lombardy",45.46679409,9.190347404,0,0,1,4,7,13,0,1,3,5,10,19
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,21,"AP Bolzano",46.49933453,11.35662422,0,0,1,1,-1,0,0,1,8,10,7,11
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,22,"AP Trento",46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,5,"Veneto",45.43490485,12.33845213,0,0,2,4,0,0,0,1,-1,14,-1,15
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,7,"Liguria",44.41149315,8.9326992,0,0,0,3,0,2,0,0,0,1,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,8,"Emilia-Romagna",44.49436681,11.3417208,0,0,1,8,23,13,6,2,1,3,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,9,"Tuscany",43.76923077,11.25588885,0,1,0,0,0,0,0,0,0,1,0,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,11,"Marche",43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,12,"Lazio",41.89277044,12.48366722,0,0,0,5,1,5,0,0,0,2,1,7
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,15,"Campania",40.83956555,14.25084984,0,0,0,0,1,1,0,1,0,1,1,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,16,"Apulia",41.12559576,16.86736689,0,0,2,4,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,1,0,0,1,2,1,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,19,"Sicily",38.11569725,13.3623566999999,0,0,0,0,0,0,0,0,0,1,0,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_15.pdf",2015,4,20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,1,"Piedmont",45.0732745,7.680687483,0,0,-1,3,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,3,"Lombardy",45.46679409,9.190347404,1,1,0,4,0,13,10,11,3,8,13,32
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,21,"AP Bolzano",46.49933453,11.35662422,0,0,0,1,0,0,0,1,11,21,11,22
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,22,"AP Trento",46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,5,"Veneto",45.43490485,12.33845213,0,0,1,5,0,0,0,1,3,17,3,18
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,0,1,1,1,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,7,"Liguria",44.41149315,8.9326992,0,0,0,3,0,2,0,0,0,1,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,8,"Emilia-Romagna",44.49436681,11.3417208,0,0,1,9,-22,-9,-3,-1,0,3,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,9,"Tuscany",43.76923077,11.25588885,0,1,2,2,0,0,0,0,1,2,1,2
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,11,"Marche",43.61675973,13.5188753,0,0,2,2,1,1,0,0,0,0,1,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,12,"Lazio",41.89277044,12.48366722,0,0,0,5,0,5,0,0,3,5,3,10
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,15,"Campania",40.83956555,14.25084984,0,0,0,0,0,1,0,1,0,1,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,16,"Apulia",41.12559576,16.86736689,0,0,0,4,0,0,0,0,1,1,1,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,1,0,0,0,2,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,19,"Sicily",38.11569725,13.3623566999999,0,0,0,0,0,0,0,0,0,1,0,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_16.pdf",2015,5,20,"Sardinia",39.21531192,9.110616306,0,0,0,0,0,0,0,0,1,1,1,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,1,"Piedmont",45.0732745,7.680687483,0,0,0,3,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,3,"Lombardy",45.46679409,9.190347404,0,1,0,4,2,15,1,12,3,11,6,38
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,21,"AP Bolzano",46.49933453,11.35662422,0,0,1,2,0,0,14,15,-15,6,-1,21
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,22,"AP Trento",46.06893511,11.12123097,0,0,0,0,1,1,0,0,0,0,1,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,5,"Veneto",45.43490485,12.33845213,0,0,0,5,1,1,0,1,0,17,1,19
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,0,2,3,2,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,7,"Liguria",44.41149315,8.9326992,0,0,0,3,0,2,0,0,2,3,2,5
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,8,"Emilia-Romagna",44.49436681,11.3417208,0,0,1,10,13,4,1,0,0,3,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,9,"Tuscany",43.76923077,11.25588885,0,1,2,4,1,1,0,0,1,3,2,4
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,5,5,5,5
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,11,"Marche",43.61675973,13.5188753,0,0,0,2,0,1,0,0,0,0,0,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,12,"Lazio",41.89277044,12.48366722,0,0,1,6,3,8,0,0,0,5,3,13
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,15,"Campania",40.83956555,14.25084984,0,0,0,0,0,1,0,1,0,1,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,16,"Apulia",41.12559576,16.86736689,0,0,0,4,0,0,0,0,0,1,0,1
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,17,"Basilicata",40.63947052,15.80514834,0,0,1,1,0,0,0,0,0,0,0,0
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,1,0,0,0,2,0,3
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2015_17.pdf",2015,6,19,"Sicily",38.11569725,13.3623566999999,0,0,0,0,0,0,0,0,0,1,0,1
