geography,school_year,estimate_pct,population_size,percent_surveyed,survey_type,categories
Alabama,2023-24,93.8%,54565,100,Census,90-94.9%
Alaska,2023-24,84.3%,8644,88.9,"Census (pub.), Not Conducted (prv.)",Less than 90%
Arizona,2023-24,89.3%,74834,99.6,Census,Less than 90%
Arkansas,2023-24,92.5%,37535,95.4,"Census (pub.), Vol. Response (prv.)",90-94.9%
California,2023-24,96.2%,569680,100,Census,95%+
Colorado,2023-24,88.3%,61662,100,Census,Less than 90%
Connecticut,2023-24,97.7%,36184,100,Census,95%+
Delaware,2023-24,93.8%,11043,11.5,Stratified 2-stage Cluster Sample,90-94.9%
District of Columbia,2023-24,92.0%,7874,100,Census,90-94.9%
Florida,2023-24,88.1%,228213,100,Census,Less than 90%
Georgia,2023-24,88.4%,136943,100,Census,Less than 90%
Hawaii,2023-24,89.8%,13995,8.2,Stratified 2-stage Cluster Sample,Less than 90%
Houston,2023-24,93.6%,37882,67.7,Vol. Response,90-94.9%
Idaho,2023-24,79.6%,22376,100,Census,Less than 90%
Illinois,2023-24,91.6%,133578,100,Census,90-94.9%
Indiana,2023-24,90.8%,80639,88.5,"Census (pub.), Vol. Response (prv.)",90-94.9%
Iowa,2023-24,89.1%,38611,100,Census,Less than 90%
Kansas,2023-24,90.4%,34178,37.1,Stratified 1-stage Cluster Sample,90-94.9%
Kentucky,2023-24,90.0%,52609,100,Census,90-94.9%
Louisiana,2023-24,92.4%,51839,100,Census,90-94.9%
Maine,2023-24,97.5%,12087,93.0,Census,95%+
Maryland,2023-24,96.6%,63224,100,Census,95%+
Massachusetts,2023-24,96.3%,65424,100,Census,95%+
Michigan,2023-24,92.1%,110156,100,Census,90-94.9%
Minnesota,2023-24,87.0%,66032,99.1,Census,Less than 90%
Mississippi,2023-24,97.5%,36105,100,Census,95%+
Missouri,2023-24,90.4%,69014,100,Census,90-94.9%
Nebraska,2023-24,93.9%,23118,100,Census,90-94.9%
Nevada,2023-24,91.9%,31261,91.3,Census,90-94.9%
New Hampshire,2023-24,89.2%,11871,100,Census,Less than 90%
New Jersey,2023-24,93.2%,105408,100,Census,90-94.9%
New Mexico,2023-24,95.0%,20699,100,Census,95%+
New York,2023-24,97.7%,200894,98.8,Census,95%+
New York City,2023-24,96.7%,85360,99.3,Census,95%+
North Carolina,2023-24,93.8%,125964,90.8,"Census (pub.), Vol. Response (prv.)",90-94.9%
North Dakota,2023-24,91.0%,9674,97.8,Census,90-94.9%
Ohio,2023-24,89.2%,133716,94.0,"Census (pub.), Vol. Response (prv.)",Less than 90%
Oklahoma,2023-24,88.3%,49979,93.8,"Census (pub.), Vol. Response (prv.)",Less than 90%
Oregon,2023-24,91.2%,39568,100,Census,90-94.9%
Pennsylvania,2023-24,93.5%,137593,96.5,Census,90-94.9%
Rhode Island,2023-24,97.1%,10539,97.8,Census,95%+
South Carolina,2023-24,92.1%,58069,26.7,Stratified 1-stage Cluster Sample,90-94.9%
South Dakota,2023-24,90.8%,11744,99.8,Census,90-94.9%
Tennessee,2023-24,95.1%,79323,95.8,Census,95%+
Texas,2023-24,94.3%,381421,92.4,"Census (pub.), Vol. Response (prv.)",90-94.9%
Utah,2023-24,88.8%,46228,100,Census,Less than 90%
Vermont,2023-24,92.9%,5630,100,Census,90-94.9%
Virginia,2023-24,94.2%,92633,1.9,Stratified 2-stage Cluster Sample,90-94.9%
Washington,2023-24,91.3%,84053,97.2,Census,90-94.9%
West Virginia,2023-24,98.3%,18261,82.8,Vol. Response,95%+
Wisconsin,2023-24,84.8%,62028,98.2,Census,Less than 90%
Wyoming,2023-24,93.5%,6754,100,Census,90-94.9%
Alabama,2022-23,93.9%,59113,100,Census,90-94.9%
Alaska,2022-23,83.6%,9650,88.8,"Vol. Response (pub.), Not Conducted (pvt.)",Less than 90%
Arizona,2022-23,89.9%,80814,97.7,Census,Less than 90%
Arkansas,2022-23,91.9%,38358,95.8,"Census (pub.), Vol. Response (pvt.)",90-94.9%
California,2022-23,96.5%,541132,100,Census,95%+
Colorado,2022-23,87.0%,65576,97.2,Census,Less than 90%
Connecticut,2022-23,97.3%,35580,100,Census,95%+
Delaware,2022-23,95.1%,10674,9.7,Stratified 2-stage Cluster Sample,95%+
District of Columbia,2022-23,87.5%,8064,100,Census,Less than 90%
Florida,2022-23,90.6%,230309,97.7,Census,90-94.9%
Georgia,2022-23,88.1%,123771,100,Census,Less than 90%
Hawaii,2022-23,86.4%,13195,8.1,Stratified 2-stage Cluster Sample,Less than 90%
Houston,2022-23,91.3%,37664,98.8,"Census (pub.), Vol. Response (pvt.)",90-94.9%
Idaho,2022-23,81.3%,23721,99.3,Census,Less than 90%
Illinois,2022-23,91.7%,135332,100,Census,90-94.9%
Indiana,2022-23,92.0%,81307,87.5,"Vol. Response (pub.), Census (pvt.)",90-94.9%
Iowa,2022-23,89.9%,39178,100,Census,Less than 90%
Kansas,2022-23,91.6%,35543,30.8,Stratified 1-stage Cluster Sample,90-94.9%
Kentucky,2022-23,90.1%,54742,96.9,Census,90-94.9%
Louisiana,2022-23,92.2%,54314,100,Census,90-94.9%
Maine,2022-23,96.8%,12403,93.9,Census,95%+
Maryland,2022-23,96.7%,59684,100,Census,95%+
Massachusetts,2022-23,96.5%,66041,100,Census,95%+
Michigan,2022-23,92.9%,113678,100,Census,90-94.9%
Minnesota,2022-23,87.6%,68152,97.9,Census,Less than 90%
Mississippi,2022-23,98.4%,36048,100,Census,95%+
Missouri,2022-23,91.3%,69126,100,Census,90-94.9%
Nebraska,2022-23,95.1%,23176,100,Census,95%+
Nevada,2022-23,92.8%,34333,89.1,"Vol. Response (pub.), Census (pvt.)",90-94.9%
New Hampshire,2022-23,89.4%,11332,100,Census,Less than 90%
New Jersey,2022-23,94.3%,104468,100,Census,90-94.9%
New Mexico,2022-23,94.9%,21068,100,Census,90-94.9%
New York,2022-23,97.9%,205906,96.6,"Census (pub.), Vol. Response (pvt.)",95%+
New York City,2022-23,97.3%,85379,97.6,"Census (pub.), Vol. Response (pvt.)",95%+
North Carolina,2022-23,94.0%,125679,83.1,Vol. Response,90-94.9%
North Dakota,2022-23,92.0%,10554,99.4,Census,90-94.9%
Ohio,2022-23,89.3%,134893,93.7,"Census (pub.), Vol. Response (pvt.)",Less than 90%
Oklahoma,2022-23,89.6%,52548,89.5,"Census (pub.), Vol. Response (pvt.)",Less than 90%
Oregon,2022-23,91.9%,40963,100,Census,90-94.9%
Pennsylvania,2022-23,94.0%,137259,97.2,"Census (pub.), Vol. Response (pvt.)",90-94.9%
Rhode Island,2022-23,96.9%,10532,96.5,Census,95%+
South Carolina,2022-23,93.2%,58878,28.1,Stratified 1-stage Cluster Sample,90-94.9%
South Dakota,2022-23,92.5%,12081,100,Census,90-94.9%
Tennessee,2022-23,95.4%,79692,100,Census,95%+
Texas,2022-23,94.2%,381680,98.0,Census,90-94.9%
Utah,2022-23,90.0%,46635,100,Census,90-94.9%
Vermont,2022-23,93.1%,5816,100,Census,90-94.9%
Virginia,2022-23,95.8%,93271,1.6,Stratified 2-stage Cluster Sample,95%+
Washington,2022-23,91.4%,86284,97.9,Census,90-94.9%
West Virginia,2022-23,95.6%,19175,86.1,"Vol. Response (pub.), Census (pvt.)",95%+
Wisconsin,2022-23,86.5%,63593,93.9,"Census (pub.), Vol. Response (pvt.)",Less than 90%
Wyoming,2022-23,90.8%,7060,100,Census,90-94.9%
Alabama,2021-22,94.9%,60332,100,Census,90-94.9%
Alaska,2021-22,78.0%,9790,76.2,"Vol. Response (pub.), Not Conducted (pvt.)",Less than 90%
Arizona,2021-22,90.6%,83463,97.0,Census,90-94.9%
Arkansas,2021-22,92.5%,39358,96.3,"Census (pub.), Vol. Response (pvt.)",90-94.9%
California,2021-22,96.3%,512144,98.4,Census,95%+
Colorado,2021-22,88.4%,66900,97.5,Census,Less than 90%
Connecticut,2021-22,95.7%,35451,100,Census,95%+
Delaware,2021-22,96.4%,11181,9.5,Stratified 2-stage Cluster Sample,95%+
District of Columbia,2021-22,82.0%,8959,100,Census,Less than 90%
Florida,2021-22,91.7%,229432,97.8,Census,90-94.9%
Georgia,2021-22,83.2%,118742,100,Census,Less than 90%
Hawaii,2021-22,94.3%,13368,6.7,Stratified 2-stage Cluster Sample,90-94.9%
Houston,2021-22,88.2%,40123,99.3,Census,Less than 90%
Idaho,2021-22,83.9%,23854,99.6,Census,Less than 90%
Illinois,2021-22,92.1%,137699,100,Census,90-94.9%
Indiana,2021-22,92.1%,83198,75.1,Vol. Response,90-94.9%
Iowa,2021-22,90.6%,40111,100,Census,90-94.9%
Kansas,2021-22,91.0%,36526,29.5,Stratified 1-stage Cluster Sample,90-94.9%
Kentucky,2021-22,86.5%,59233,91.5,Census,Less than 90%
Louisiana,2021-22,93.7%,66518,100,Census,90-94.9%
Maine,2021-22,96.7%,12881,91.6,Census,95%+
Maryland,2021-22,93.9%,53866,98.4,Census,90-94.9%
Massachusetts,2021-22,96.2%,65582,100,Census,95%+
Michigan,2021-22,93.6%,114251,100,Census,90-94.9%
Minnesota,2021-22,89.0%,69403,98.7,Census,Less than 90%
Mississippi,2021-22,98.6%,36524,100,Census,95%+
Missouri,2021-22,91.6%,71034,100,Census,90-94.9%
Montana,2021-22,NA,,NA,NA,NA
Nebraska,2021-22,96.2%,25018,99.5,Census,95%+
Nevada,2021-22,92.7%,36855,99.2,"Census (pub.), Vol. Response (pvt.)",90-94.9%
New Hampshire,2021-22,88.7%,12157,100,Census,Less than 90%
New Jersey,2021-22,94.1%,104240,100,Census,90-94.9%
New Mexico,2021-22,94.3%,20736,100,Census,90-94.9%
New York,2021-22,98.0%,195377,99.3,Census,95%+
New York City,2021-22,97.3%,82938,99.8,Census,95%+
North Carolina,2021-22,96.1%,118191,78.5,Vol. Response,95%+
North Dakota,2021-22,91.5%,10755,96.6,Census,90-94.9%
Ohio,2021-22,88.3%,139077,91.9,"Census (pub.), Vol. Response (pvt.)",Less than 90%
Oklahoma,2021-22,90.9%,54042,84.3,Vol. Response,90-94.9%
Oregon,2021-22,93.0%,41538,100,Census,90-94.9%
Pennsylvania,2021-22,95.0%,139558,94.9,"Census (pub.), Vol. Response (pvt.)",95%+
Rhode Island,2021-22,97.3%,11002,96.9,Census,95%+
South Carolina,2021-22,92.7%,58276,27.2,1-stage Cluster Sample,90-94.9%
South Dakota,2021-22,93.7%,12251,100,Census,90-94.9%
Tennessee,2021-22,95.8%,79120,100,Census,95%+
Texas,2021-22,94.0%,389037,99.3,Census,90-94.9%
Utah,2021-22,90.0%,48995,100,Census,90-94.9%
Vermont,2021-22,93.4%,6126,100,Census,90-94.9%
Virginia,2021-22,95.5%,95996,2.8,Stratified 2-stage Cluster Sample,95%+
Washington,2021-22,92.5%,87256,97.3,"Census (pub.), Vol. Response (pvt.)",90-94.9%
West Virginia,2021-22,96.5%,18070,85.5,Vol. Response,95%+
Wisconsin,2021-22,82.6%,64275,96.8,"Census (pub.), Vol. Response (pvt.)",Less than 90%
Wyoming,2021-22,92.9%,7382,100,Census,90-94.9%
Alabama,2020-21,94.7%,56974,100,Census,90-94.9%
Alaska,2020-21,NA,,NA,NA,NA
Arizona,2020-21,91.9%,76382,92.4,Census (public). Voluntary Response (private),90-94.9%
Arkansas,2020-21,93.2%,37540,95.6,Census (public). Voluntary Response (private),90-94.9%
California,2020-21,95.1%,498214,97.5,Census,95%+
Colorado,2020-21,90.5%,63619,97.3,Census,90-94.9%
Connecticut,2020-21,95.3%,34396,100,Census,95%+
Delaware,2020-21,95.7%,10587,9.2,Stratified 2-stage Cluster Sample,95%+
District of Columbia,2020-21,78.9%,8262,100,Census,Less than 90%
Florida,2020-21,93.3%,207026,100,Census,90-94.9%
Georgia,2020-21,88.5%,83191,100,Census,Less than 90%
Hawaii,2020-21,90.7%,13074,9.3,Stratified 2-stage Cluster Sample,90-94.9%
Houston,2020-21,83.7%,39627,94.9,Census (public). Voluntary Response (private),Less than 90%
Idaho,2020-21,86.5%,22677,98.3,Census,Less than 90%
Illinois,2020-21,NA,,NA,Not Conducted,NA
Indiana,2020-21,93.1%,78694,71.4,Voluntary Response,90-94.9%
Iowa,2020-21,93.4%,39141,100,Census,90-94.9%
Kansas,2020-21,92.6%,34687,32.7,Stratified 2-stage Cluster Sample,90-94.9%
Kentucky,2020-21,88.9%,59233,86.4,Census (public). Voluntary Response (private),Less than 90%
Louisiana,2020-21,96.2%,61912,100,Census,95%+
Maine,2020-21,94.3%,13477,85.0,Voluntary Response (public). Census (private),90-94.9%
Maryland,2020-21,87.6%,65764,75.6,Voluntary Response,Less than 90%
Massachusetts,2020-21,95.9%,60724,100,Census,95%+
Michigan,2020-21,94.6%,106657,100,Census,90-94.9%
Minnesota,2020-21,89.8%,66007,95.2,Census,Less than 90%
Mississippi,2020-21,98.9%,34028,100,Census,95%+
Missouri,2020-21,92.6%,63093,100,Census,90-94.9%
Montana,2020-21,92.9%,11279,100,Census,90-94.9%
Nebraska,2020-21,95.5%,25681,94.8,Census (public). Voluntary Response (private),95%+
Nevada,2020-21,96.1%,34171,94.7,Census (public). Voluntary Response (private),95%+
New Hampshire,2020-21,90.8%,10242,57.0,Voluntary Response,90-94.9%
New Jersey,2020-21,94.3%,100144,100,Census,90-94.9%
New Mexico,2020-21,95.7%,20589,100,Census,95%+
New York,2020-21,98.3%,216804,91.5,Census (public). Voluntary Response (private),95%+
New York City,2020-21,97.4%,91920,94.2,Census (public). Voluntary Response (private),95%+
North Carolina,2020-21,95.2%,120995,89.0,Census (public). Voluntary Response (private),95%+
North Dakota,2020-21,93.3%,10116,99.1,Census,90-94.9%
Ohio,2020-21,89.6%,128535,91.1,Census (public). Voluntary Response (private),Less than 90%
Oklahoma,2020-21,90.5%,52656,90.0,Census (public). Voluntary Response (private),90-94.9%
Oregon,2020-21,92.7%,39568,100,Census,90-94.9%
Pennsylvania,2020-21,95.5%,129307,95.0,Census (public). Voluntary Response (private),95%+
Rhode Island,2020-21,97.0%,10402,93.0,Census,95%+
South Carolina,2020-21,94.4%,56330,26.5,Stratified 1-stage Cluster Sample,90-94.9%
South Dakota,2020-21,94.6%,11512,99.9,Census,90-94.9%
Tennessee,2020-21,96.6%,73819,100,Census,95%+
Texas,2020-21,95.3%,377840,98.9,Census,95%+
Utah,2020-21,91.4%,46247,100,Census,90-94.9%
Vermont,2020-21,94.0%,5535,100,Census,90-94.9%
Virginia,2020-21,95.8%,88273,2.0,Stratified 2-stage Cluster Sample,95%+
Washington,2020-21,94.4%,74931,100,Census,90-94.9%
West Virginia,2020-21,NA,,NA,Not Conducted,NA
Wisconsin,2020-21,87.2%,63486,84.5,Voluntary Response,Less than 90%
Wyoming,2020-21,90.2%,6923,100,Census,90-94.9%
Alabama,2019-20,86.6%,59477,94.9,Census,Less than 90%
Alaska,2019-20,NA,10381,82.7,Voluntary Response,NA
Arizona,2019-20,92.8%,83976,98.7,Census (public). Voluntary Response (private),90-94.9%
Arkansas,2019-20,94.3%,39510,96.2,Census (public). Voluntary Response (private),90-94.9%
California,2019-20,96.5%,566155,97.9,Census,95%+
Colorado,2019-20,91.1%,69088,98.2,Census,90-94.9%
Connecticut,2019-20,96.2%,38888,100,Census,95%+
Delaware,2019-20,NA,,NA,Not Conducted,NA
District of Columbia,2019-20,NA,,NA,Not Conducted,NA
Florida,2019-20,93.5%,228298,100,Census,90-94.9%
Georgia,2019-20,93.1%,130102,100,Census,90-94.9%
Hawaii,2019-20,89.7%,15695,8.9,Stratified 2-stage Cluster Sample,Less than 90%
Idaho,2019-20,89.1%,23301,98.5,Census,Less than 90%
Illinois,2019-20,96.6%,145891,100,Census,95%+
Indiana,2019-20,94.4%,88253,65.7,Voluntary Response,90-94.9%
Iowa,2019-20,93.2%,40812,100,Census,90-94.9%
Kansas,2019-20,90.0%,37865,34.3,Stratified 2-stage Cluster Sample,90-94.9%
Kentucky,2019-20,93.1%,59233,92.9,Census,90-94.9%
Louisiana,2019-20,95.6%,59685,100,Census,95%+
Maine,2019-20,94.1%,13450,99.6,Census,90-94.9%
Maryland,2019-20,97.9%,72443,98.3,Census (public). Voluntary Response (private),95%+
Massachusetts,2019-20,97.3%,66756,100,Census,95%+
Michigan,2019-20,94.8%,120565,100,Census,90-94.9%
Minnesota,2019-20,92.6%,71223,98.7,Census,90-94.9%
Mississippi,2019-20,99.1%,37870,100,Census,95%+
Missouri,2019-20,94.6%,72324,100,Census,90-94.9%
Montana,2019-20,93.6%,12501,100,Census,90-94.9%
Nebraska,2019-20,96.3%,26893,96.7,Census,95%+
Nevada,2019-20,95.4%,37724,99.9,Census,95%+
New Hampshire,2019-20,91.5%,12447,100,Census,90-94.9%
New Jersey,2019-20,95.9%,107900,100,Census,95%+
New Mexico,2019-20,97.0%,23087,100,Census,95%+
New York,2019-20,98.6%,234165,99.9,Census,95%+
North Carolina,2019-20,95.5%,124548,97.8,Census,95%+
North Dakota,2019-20,94.8%,10587,99.5,Census,90-94.9%
Ohio,2019-20,92.4%,139103,98.8,Census,90-94.9%
Oklahoma,2019-20,93.0%,55348,85.6,Voluntary Response,90-94.9%
Oregon,2019-20,93.4%,45959,100,Census,90-94.9%
Pennsylvania,2019-20,96.6%,140197,98.8,Census,95%+
Rhode Island,2019-20,97.7%,11219,98.5,Census,95%+
South Carolina,2019-20,95.0%,65938,27.5,Stratified 1-stage Cluster Sample,95%+
South Dakota,2019-20,96.0%,12367,99.8,Census,95%+
Tennessee,2019-20,96.8%,80595,100,Census,95%+
Texas,2019-20,96.9%,398680,99.6,Census,95%+
Utah,2019-20,92.7%,49208,100,Census,90-94.9%
Vermont,2019-20,94.5%,6293,100,Census,90-94.9%
Virginia,2019-20,94.6%,99399,1.2,Stratified 2-stage Cluster Sample,90-94.9%
Washington,2019-20,94.4%,87757,91.9,Census,90-94.9%
West Virginia,2019-20,98.2%,17114,49.6,Voluntary Response,95%+
Wisconsin,2019-20,92.8%,67391,2.6,Stratified 2-stage Cluster Sample,90-94.9%
Wyoming,2019-20,94.5%,7913,100,Census,90-94.9%
Alabama,2018-19,90.6%,77739,100,Census,90-94.9%
Alaska,2018-19,NA,,NA,NA,NA
Arizona,2018-19,92.9%,79981,100,Census,90-94.9%
Arkansas,2018-19,94.2%,39257,95.4,Census (public). Voluntary Response (private),90-94.9%
California,2018-19,96.5%,568947,97.7,Census,95%+
Colorado,2018-19,87.4%,64191,100,Census,Less than 90%
Connecticut,2018-19,95.9%,38230,100,Census,95%+
Delaware,2018-19,97.8%,10798,9.5,Stratified 2-stage Cluster Sample,95%+
District of Columbia,2018-19,NA,,NA,NA,NA
Florida,2018-19,93.8%,224641,100,Census,90-94.9%
Georgia,2018-19,93.6%,131275,100,Census,90-94.9%
Hawaii,2018-19,91.5%,16051,6.7,Stratified 2-stage Cluster Sample,90-94.9%
Idaho,2018-19,89.5%,22995,99.0,Census,Less than 90%
Illinois,2018-19,94.7%,143876,100,Census,90-94.9%
Indiana,2018-19,91.2%,82324,96.4,Census,90-94.9%
Iowa,2018-19,93.3%,40624,100,Census,90-94.9%
Kansas,2018-19,90.8%,37838,23.1,Stratified 2-stage Cluster Sample,90-94.9%
Kentucky,2018-19,93.4%,55587,99.0,Census,90-94.9%
Louisiana,2018-19,95.5%,56203,100,Census,95%+
Maine,2018-19,93.8%,13419,95.9,Census,90-94.9%
Maryland,2018-19,97.4%,71431,100,Census,95%+
Massachusetts,2018-19,96.9%,65279,100,Census,95%+
Michigan,2018-19,94.6%,118632,100,Census,90-94.9%
Minnesota,2018-19,92.6%,70085,98.1,Census,90-94.9%
Mississippi,2018-19,99.2%,37775,100,Census,95%+
Missouri,2018-19,94.8%,72687,100,Census,90-94.9%
Montana,2018-19,93.3%,12480,100,Census,90-94.9%
Nebraska,2018-19,96.9%,26925,98.6,Census,95%+
Nevada,2018-19,95.1%,37971,4.8,Stratified 2-stage Cluster Sample,95%+
New Hampshire,2018-19,91.8%,12421,100,Census,90-94.9%
New Jersey,2018-19,95.0%,109161,100,Census,95%+
New Mexico,2018-19,96.1%,25269,99.6,Census,95%+
New York,2018-19,97.2%,220495,100,Census,95%+
North Carolina,2018-19,93.2%,124343,90.9,Census (public). Voluntary Response (private),90-94.9%
North Dakota,2018-19,93.6%,10382,99.4,Census,90-94.9%
Ohio,2018-19,91.6%,139679,94.9,Census (public). Voluntary Response (private),90-94.9%
Oklahoma,2018-19,92.2%,54806,92.1,Census (public). Voluntary Response (private),90-94.9%
Oregon,2018-19,93.0%,45870,100,Census,90-94.9%
Pennsylvania,2018-19,96.4%,143560,93.3,Census (public). Voluntary Response (private),95%+
Rhode Island,2018-19,97.4%,10964,100,Census,95%+
South Carolina,2018-19,94.2%,58442,27.0,Stratified 1-stage Cluster Sample,90-94.9%
South Dakota,2018-19,96.2%,12062,99.9,Census,95%+
Tennessee,2018-19,96.5%,78630,100,Census,95%+
Texas,2018-19,96.9%,390034,99.4,Census,95%+
Utah,2018-19,92.8%,50179,100,Census,90-94.9%
Vermont,2018-19,93.0%,6126,100,Census,90-94.9%
Virginia,2018-19,95.0%,100394,4.4,Stratified 2-stage Cluster Sample,95%+
Washington,2018-19,90.8%,87510,96.9,Census,90-94.9%
West Virginia,2018-19,98.8%,19442,79.3,Voluntary Response,95%+
Wisconsin,2018-19,92.6%,66344,2.3,Stratified 2-stage Cluster Sample,90-94.9%
Wyoming,2018-19,95.1%,7734,100,Census,95%+
Alabama,2017-18,92.7%,57245,100,Census,90-94.9%
Alaska,2017-18,91.6%,9692,84.4,Stratified 2-stage Cluster Sample,90-94.9%
Arizona,2017-18,93.4%,81710,100,Census,90-94.9%
Arkansas,2017-18,91.9%,39630,95.4,Census,90-94.9%
California,2017-18,96.9%,574702,100,Census,95%+
Colorado,2017-18,88.7%,65718,100,Census,Less than 90%
Connecticut,2017-18,96.5%,39174,100,Census,95%+
Delaware,2017-18,96.7%,10988,9.5,Stratified 2-stage Cluster Sample,95%+
Florida,2017-18,93.7%,222397,100,Census,90-94.9%
Georgia,2017-18,93.4%,131459,100,Census,90-94.9%
Hawaii,2017-18,95.6%,16325,6.6,Stratified 2-stage Cluster Sample,95%+
Idaho,2017-18,89.5%,22553,99.0,Census,Less than 90%
Illinois,2017-18,95.2%,144858,100,Census,95%+
Indiana,2017-18,90.4%,84296,96.4,Voluntary Response,90-94.9%
Iowa,2017-18,93.0%,39632,100,Census,90-94.9%
Kansas,2017-18,89.1%,38484,23.1,Stratified 2-stage Cluster Sample,Less than 90%
Kentucky,2017-18,92.6%,55152,99.0,Census,90-94.9%
Louisiana,2017-18,96.1%,58277,100,Census,95%+
Maine,2017-18,94.3%,13255,95.9,Census,90-94.9%
Maryland,2017-18,97.4%,68528,98.5,Census,95%+
Massachusetts,2017-18,96.3%,63377,100,Census,95%+
Michigan,2017-18,95.0%,119028,100,Census,95%+
Minnesota,2017-18,92.5%,69807,98.1,Census,90-94.9%
Mississippi,2017-18,99.4%,39284,100,Census,95%+
Missouri,2017-18,95.2%,73113,100,Census,95%+
Montana,2017-18,93.2%,12188,100,Census,90-94.9%
Nebraska,2017-18,96.2%,26313,98.6,Census,95%+
Nevada,2017-18,93.0%,37178,4.8,Stratified 2-stage Cluster Sample,90-94.9%
New Hampshire,2017-18,92.4%,12165,100,Census,90-94.9%
New Jersey,2017-18,96.1%,107630,100,Census,95%+
New Mexico,2017-18,94.8%,26896,99.6,Stratified 2-stage Cluster Sample,90-94.9%
New York,2017-18,97.2%,226456,100,Census,95%+
North Carolina,2017-18,97.0%,127197,90.9,Census,95%+
North Dakota,2017-18,94.2%,10365,99.4,Census,90-94.9%
Ohio,2017-18,92.1%,138753,94.9,Census,90-94.9%
Oklahoma,2017-18,92.6%,53898,92.1,Census (public). Voluntary Response (private),90-94.9%
Oregon,2017-18,93.2%,45818,100,Census,90-94.9%
Pennsylvania,2017-18,96.7%,141571,93.3,Voluntary Response,95%+
Rhode Island,2017-18,96.4%,11025,100,Census,95%+
South Carolina,2017-18,96.3%,58458,27.0,Stratified 1-stage Cluster Sample,95%+
South Dakota,2017-18,96.6%,12125,99.9,Census,95%+
Tennessee,2017-18,96.9%,78743,100,Census,95%+
Texas,2017-18,96.9%,387981,99.4,Census,95%+
Utah,2017-18,93.4%,48827,100,Census,90-94.9%
Vermont,2017-18,94.1%,6255,100,Census,90-94.9%
Virginia,2017-18,95.5%,100581,4.4,Stratified 2-stage Cluster Sample,95%+
Washington,2017-18,90.6%,85118,96.9,Census,90-94.9%
West Virginia,2017-18,98.4%,19519,79.3,Voluntary Response,95%+
Wisconsin,2017-18,91.8%,66178,2.3,Stratified 2-stage Cluster Sample,90-94.9%
Wyoming,2017-18,NA,,NA,Not Conducted,NA
Alabama,2016-17,93.8%,58394,100,Census,90-94.9%
Alaska,2016-17,89.0%,9815,7.6,Stratified 2-stage Cluster Sample,Less than 90%
Arizona,2016-17,94.0%,83627,100,Census,90-94.9%
Arkansas,2016-17,91.9%,39666,75.9,Voluntary Response,90-94.9%
California,2016-17,97.3%,575305,97.8,Census,95%+
