geography,school_year,estimate_pct,population_size,percent_surveyed,survey_type,categories
Colorado,2016-17,87.3%,64440,100,Census,Less than 90%
Connecticut,2016-17,96.7%,39002,100,Census,95%+
Delaware,2016-17,98.5%,11490,9.3,Stratified 2-stage Cluster Sample,95%+
Florida,2016-17,94.1%,224463,100,Census,90-94.9%
Georgia,2016-17,93.3%,136165,100,Census,90-94.9%
Hawaii,2016-17,93.5%,16325,6.7,Stratified 2-stage Cluster Sample,90-94.9%
Idaho,2016-17,89.9%,22589,100,Census,Less than 90%
Illinois,2016-17,94.9%,151309,97.7,Census,90-94.9%
Indiana,2016-17,88.9%,83263,80.3,Voluntary Response,Less than 90%
Iowa,2016-17,92.6%,39587,100,Census,90-94.9%
Kansas,2016-17,89.5%,38298,22.9,Stratified 2-stage Cluster Sample,Less than 90%
Kentucky,2016-17,90.8%,51487,92.9,Census,90-94.9%
Louisiana,2016-17,97.1%,55257,100,Census,95%+
Maine,2016-17,94.9%,13834,90.1,Voluntary Response (public). Census (private),90-94.9%
Maryland,2016-17,97.9%,71467,98.1,Census,95%+
Massachusetts,2016-17,96.1%,70109,100,Census,95%+
Michigan,2016-17,95.6%,118777,100,Census,95%+
Minnesota,2016-17,92.8%,69140,96.7,Census,90-94.9%
Mississippi,2016-17,99.4%,40509,100,Census,95%+
Missouri,2016-17,95.4%,73355,100,Census,95%+
Montana,2016-17,93.8%,11956,100,Census,90-94.9%
Nebraska,2016-17,96.7%,27117,100,Census,95%+
Nevada,2016-17,90.9%,36885,3.7,Stratified 2-stage Cluster Sample,90-94.9%
New Hampshire,2016-17,91.5%,12145,100,Census,90-94.9%
New Jersey,2016-17,96.5%,109577,100,Census,95%+
New Mexico,2016-17,95.5%,27119,4.5,Stratified 2-stage Cluster Sample,95%+
New York,2016-17,97.3%,227050,100,Census,95%+
North Carolina,2016-17,96.2%,126454,88.2,Voluntary Response,95%+
North Dakota,2016-17,93.8%,9799,98.7,Census,90-94.9%
Ohio,2016-17,92.6%,137542,95.5,Census,90-94.9%
Oklahoma,2016-17,NA,52184,0,Census,NA
Oregon,2016-17,93.8%,45705,100,Census,90-94.9%
Pennsylvania,2016-17,93.6%,143888,84.4,Voluntary Response,90-94.9%
Rhode Island,2016-17,95.1%,11100,98.4,Census,95%+
South Carolina,2016-17,96.0%,59177,8.9,Stratified 1-stage Cluster Sample,95%+
South Dakota,2016-17,96.7%,12106,99.8,Census,95%+
Tennessee,2016-17,96.9%,78169,100,Census,95%+
Texas,2016-17,97.3%,389999,99.0,Census,95%+
Utah,2016-17,93.8%,49073,100,Census,90-94.9%
Vermont,2016-17,93.6%,6344,100,Census,90-94.9%
Virginia,2016-17,94.1%,102357,4.0,Stratified 2-stage Cluster Sample,90-94.9%
Washington,2016-17,90.5%,87142,98.2,Census,90-94.9%
West Virginia,2016-17,95.9%,28666,66.5,Census (public). Voluntary Response (private),95%+
Wisconsin,2016-17,94.0%,67607,2.2,Stratified 2-stage Cluster Sample,90-94.9%
Wyoming,2016-17,NA,,NA,Not Conducted,NA
Alabama,2015-16,93.1%,60392,100,Census,90-94.9%
Alaska,2015-16,93.5%,9937,7.8,Stratified 2-stage Cluster Sample,90-94.9%
Arizona,2015-16,94.2%,83088,100,Census,90-94.9%
Arkansas,2015-16,90.8%,40258,95.6,Census (public); Voluntary Response (private),90-94.9%
California,2015-16,94.5%,593788,92.8,Census,90-94.9%
Colorado,2015-16,87.1%,69137,0.5,Simple Random Sample,Less than 90%
Connecticut,2015-16,97.0%,39533,100,Census,95%+
Delaware,2015-16,97.6%,11589,9.5,Stratified 2-stage Cluster Sample,95%+
District of Columbia,2015-16,88.5%,8080,100,Census,Less than 90%
Florida,2015-16,93.7%,224430,100,Census,90-94.9%
Georgia,2015-16,94.6%,131403,100,Census,90-94.9%
Hawaii,2015-16,91.6%,16325,6.7,Stratified 2-stage Cluster Sample,90-94.9%
Idaho,2015-16,90.2%,22686,100,Census,90-94.9%
Illinois,2015-16,94.9%,151309,100,Census,90-94.9%
Indiana,2015-16,89.2%,83525,69.5,Voluntary Response,Less than 90%
Iowa,2015-16,91.8%,41215,100,Census,90-94.9%
Kansas,2015-16,89.4%,39555,21.0,Stratified 2-stage Cluster Sample,Less than 90%
Kentucky,2015-16,92.2%,54353,99.5,Census,90-94.9%
Louisiana,2015-16,96.8%,59159,100,Census,95%+
Maine,2015-16,95.1%,13526,90.5,Census,95%+
Maryland,2015-16,99.4%,72012,94.3,Census (public); Voluntary Response (private),95%+
Massachusetts,2015-16,96.4%,72897,100,Census,95%+
Michigan,2015-16,95.7%,116299,100,Census,95%+
Minnesota,2015-16,92.8%,69710,97.8,Census,90-94.9%
Mississippi,2015-16,99.4%,41042,100,Census,95%+
Missouri,2015-16,95.7%,74413,100,Census,95%+
Montana,2015-16,94.9%,11484,100,Census,90-94.9%
Nebraska,2015-16,95.6%,30409,100,Census,95%+
Nevada,2015-16,94.7%,37118,3.3,Stratified 2-stage Cluster Sample,90-94.9%
New Hampshire,2015-16,91.9%,11852,99.8,Census,90-94.9%
New Jersey,2015-16,96.3%,110116,100,Census,95%+
New Mexico,2015-16,96.2%,29049,2.7,Stratified 2-stage Cluster Sample,95%+
New York,2015-16,95.6%,232521,100,Census,95%+
North Carolina,2015-16,97.3%,128290,92.0,Census (public). Voluntary Response (private),95%+
North Dakota,2015-16,90.7%,9875,97.1,Census,90-94.9%
Ohio,2015-16,92.1%,144604,93.7,Census (public); Voluntary Response (private),90-94.9%
Oklahoma,2015-16,94.4%,54335,96.1,Census,90-94.9%
Oregon,2015-16,93.9%,45531,100,Census,90-94.9%
Pennsylvania,2015-16,95.5%,143298,93.2,Census (public); Voluntary Response (private),95%+
Rhode Island,2015-16,96.4%,11165,100,Census,95%+
South Carolina,2015-16,96.5%,59240,8.9,Stratified 1-stage Cluster Sample,95%+
South Dakota,2015-16,96.5%,12181,100,Census,95%+
Tennessee,2015-16,93.5%,79233,100,Census,90-94.9%
Texas,2015-16,97.6%,394801,98.7,Census (public); Voluntary Response (private),95%+
Utah,2015-16,94.2%,50114,100,Census,90-94.9%
Vermont,2015-16,93.6%,6366,100,Census,90-94.9%
Virginia,2015-16,95.7%,100074,4.3,Stratified 2-stage Cluster Sample,95%+
Washington,2015-16,91.0%,86492,97.3,Census,90-94.9%
West Virginia,2015-16,95.2%,21333,87.6,Voluntary Response,95%+
Wisconsin,2015-16,93.2%,70220,2.0,Stratified 2-stage Cluster Sample,90-94.9%
Wyoming,2015-16,96.9%,7825,74.0,Voluntary Response,95%+
Alabama,2014-15,93.5%,59660,100,Census,90-94.9%
Alaska,2014-15,92.7%,10129,7.8,Stratified 2-stage Cluster Sample,90-94.9%
Arizona,2014-15,94.2%,86153,98.3,Census,90-94.9%
Arkansas,2014-15,88.4%,41252,95.9,Census (public); Voluntary Response (private),Less than 90%
California,2014-15,92.6%,552583,96.9,Census,90-94.9%
Colorado,2014-15,86.9%,70597,0.5,Simple Random Sample,Less than 90%
Connecticut,2014-15,97.0%,39948,100,Census,95%+
Delaware,2014-15,97.8%,11476,7.9,Stratified 2-stage Cluster Sample,95%+
District of Columbia,2014-15,89.9%,7840,100,Census,Less than 90%
Florida,2014-15,93.3%,228982,100,Census,90-94.9%
Georgia,2014-15,94.0%,139471,100,Census,90-94.9%
Hawaii,2014-15,NA,20085,5.6,Stratified 2-stage Cluster Sample,NA
Idaho,2014-15,89.5%,22968,100,Census,Less than 90%
Illinois,2014-15,94.7%,156942,100,Census,90-94.9%
Indiana,2014-15,89.3%,85477,70.1,Voluntary Response,Less than 90%
Iowa,2014-15,91.9%,43239,96.3,Census,90-94.9%
Kansas,2014-15,89.2%,39685,24.5,Stratified 2-stage Cluster Sample,Less than 90%
Kentucky,2014-15,92.7%,57884,97.2,Census,90-94.9%
Louisiana,2014-15,96.8%,60377,100,Census,95%+
Maine,2014-15,92.1%,13704,88.9,Voluntary Response (public); Census (private),90-94.9%
Maryland,2014-15,99.1%,75391,90.2,Census (public); Voluntary Response (private),95%+
Massachusetts,2014-15,94.7%,74869,100,Census,90-94.9%
Michigan,2014-15,94.3%,117963,100,Census,90-94.9%
Minnesota,2014-15,93.5%,70896,97.8,Census,90-94.9%
Mississippi,2014-15,99.2%,44129,100,Census,95%+
Missouri,2014-15,95.8%,75900,100,Census,95%+
Montana,2014-15,94.6%,12501,95.7,Census (public); Voluntary Response (private),90-94.9%
Nebraska,2014-15,96.0%,26665,100,Census,95%+
Nevada,2014-15,94.0%,36755,2.8,Stratified 2-stage Cluster Sample,90-94.9%
New Hampshire,2014-15,91.4%,12422,98.9,Census (public); Voluntary Response (private),90-94.9%
New Jersey,2014-15,92.3%,120471,93.9,Census (public); Voluntary Response (private),90-94.9%
New Mexico,2014-15,97.7%,29918,3.3,Stratified 2-stage Cluster Sample,95%+
New York,2014-15,98.2%,237045,100,Census,95%+
North Carolina,2014-15,96.5%,129792,95.0,Census (public). Voluntary Response (private),95%+
North Dakota,2014-15,89.8%,10017,99.9,Census,Less than 90%
Ohio,2014-15,91.9%,149080,91.0,Census (public); Voluntary Response (private),90-94.9%
Oklahoma,2014-15,90.3%,56967,95.9,Census,90-94.9%
Oregon,2014-15,94.1%,46229,100,Census,90-94.9%
Pennsylvania,2014-15,91.7%,146378,98.3,Census,90-94.9%
Rhode Island,2014-15,95.7%,11163,98.9,Census,95%+
South Carolina,2014-15,96.5%,62864,12.2,Stratified 1-stage Cluster Sample,95%+
South Dakota,2014-15,97.1%,12008,100,Census,95%+
Tennessee,2014-15,95.1%,78276,100,Census,95%+
Texas,2014-15,97.4%,406099,98.3,Census (public); Voluntary Response (private),95%+
Utah,2014-15,94.0%,50916,100,Census,90-94.9%
Vermont,2014-15,92.7%,6277,100,Census,90-94.9%
Virginia,2014-15,93.4%,103821,4.1,Stratified 2-stage Cluster Sample,90-94.9%
Washington,2014-15,89.4%,88809,96.7,Census (public); Voluntary Response (private),Less than 90%
West Virginia,2014-15,97.6%,22016,81.3,Voluntary Response,95%+
Wisconsin,2014-15,91.6%,69335,2.5,Stratified 2-stage Cluster Sample,90-94.9%
Wyoming,2014-15,96.8%,7983,97.9,Census,95%+
Alabama,2013-14,92.0%,76927,100,Census,90-94.9%
Alaska,2013-14,94.4%,10222,9.3,Stratified  2-stage Cluster Sample,90-94.9%
Arizona,2013-14,93.9%,89606,95.8,Census,90-94.9%
Arkansas,2013-14,86.5%,42649,96.3,Census,Less than 90%
California,2013-14,92.3%,548606,97.3,Census,90-94.9%
Colorado,2013-14,81.7%,69904,0.5,Random Sample,Less than 90%
Connecticut,2013-14,96.9%,40978,100,Census,95%+
Delaware,2013-14,96.4%,11997,12.2,Stratified  2-stage Cluster Sample,95%+
District of Columbia,2013-14,NA,7856,100,Census,NA
Florida,2013-14,93.2%,233797,100,Census,90-94.9%
Georgia,2013-14,94.0%,143988,100,Census,90-94.9%
Hawaii,2013-14,NA,20056,5.4,Stratified  2-stage Cluster Sample,NA
Idaho,2013-14,88.2%,23934,100,Census,Less than 90%
Illinois,2013-14,94.7%,163316,100,Census,90-94.9%
Indiana,2013-14,92.9%,87193,70.3,Voluntary Response,90-94.9%
Iowa,2013-14,91.0%,43728,94.6,Census,90-94.9%
Kansas,2013-14,86.9%,41107,29.0,Stratified 1-stage Sample  (public);  Census (private),Less than 90%
Kentucky,2013-14,92.6%,57857,100,Census,90-94.9%
Louisiana,2013-14,96.8%,63976,100,Census,95%+
Maine,2013-14,89.9%,15441,82.4,Voluntary Response,Less than 90%
Maryland,2013-14,97.6%,75659,96.9,Census,95%+
Massachusetts,2013-14,95.1%,79894,97.9,Census,95%+
Michigan,2013-14,97.5%,120297,100,Census,95%+
Minnesota,2013-14,93.4%,72087,98.5,Census,90-94.9%
Mississippi,2013-14,99.7%,45719,100,Census,95%+
Missouri,2013-14,95.5%,78140,100,Census,95%+
Montana,2013-14,93.7%,12855,95.4,Census,90-94.9%
Nebraska,2013-14,96.6%,27000,97.3,Census,95%+
Nevada,2013-14,95.6%,35782,3.1,Stratified  2-stage Cluster Sample,95%+
New Hampshire,2013-14,94.7%,13240,100,Census,90-94.9%
New Jersey,2013-14,96.8%,123085,95.4,Census,95%+
New Mexico,2013-14,95.9%,30725,2.7,Stratified  2-stage Cluster Sample,95%+
New York,2013-14,96.8%,240318,100,Census,95%+
North Carolina,2013-14,NA,126084,97.7,Census,NA
North Dakota,2013-14,90.0%,9780,96.1,Census (public); Stratified  2-stage Cluster Sample(private),90-94.9%
Ohio,2013-14,96.2%,150000,92.5,Census,95%+
Oklahoma,2013-14,96.4%,57377,71.3,Voluntary Response,95%+
Oregon,2013-14,93.2%,47649,100,Census,90-94.9%
Pennsylvania,2013-14,85.3%,151253,100,Census,Less than 90%
Rhode Island,2013-14,95.1%,11521,99.1,Census,95%+
South Carolina,2013-14,96.8%,61661,11.0,1-stage Stratified Sample,95%+
South Dakota,2013-14,96.6%,12566,100,Census,95%+
Tennessee,2013-14,94.9%,80212,99.8,Census,90-94.9%
Texas,2013-14,97.5%,409255,97.1,Census,95%+
Utah,2013-14,98.5%,54779,100,Census,95%+
Vermont,2013-14,91.2%,6771,100,Census,90-94.9%
Virginia,2013-14,93.1%,105692,4.1,2-stage Cluster  Sample,90-94.9%
Washington,2013-14,89.7%,89165,88.5,Voluntary Response,Less than 90%
West Virginia,2013-14,96.1%,22814,84.7,Voluntary Response,95%+
Wisconsin,2013-14,92.6%,71363,2.8,Stratified  2-stage Cluster Sample,90-94.9%
Wyoming,2013-14,NA,,NA,Not Conducted,NA
Alabama,2012-13,92.8%,72929,100,Census,90-94.9%
Alaska,2012-13,NA,10319,97.8,Census,NA
Arizona,2012-13,94.5%,90054,97.6,Census,90-94.9%
Arkansas,2012-13,85.9%,43212,96.3,Census,Less than 90%
California,2012-13,92.7%,535523,99.0,Census,90-94.9%
Colorado,2012-13,85.7%,70657,0.5,Simple Random Sample,Less than 90%
Connecticut,2012-13,97.1%,41604,100,Census,95%+
Delaware,2012-13,95.7%,11997,7.8,2-stage Cluster Sample,95%+
District of Columbia,2012-13,NA,7842,100,Census,NA
Florida,2012-13,92.1%,234628,100,Census,90-94.9%
Georgia,2012-13,95.1%,142732,2.4,2-stage Cluster Sample,95%+
Hawaii,2012-13,NA,20104,6.7,2-stage Cluster Sample,NA
Idaho,2012-13,88.4%,23888,100,Census,Less than 90%
Illinois,2012-13,95.5%,166884,100,Census,95%+
Indiana,2012-13,95.4%,86983,83.4,Voluntary Response,95%+
Iowa,2012-13,90.5%,41701,99.9,Census,90-94.9%
Kansas,2012-13,90.0%,40738,31.8,Stratified 1-stage Sample  (public);  Census (private),90-94.9%
Kentucky,2012-13,92.4%,58466,97.2,Census,90-94.9%
Louisiana,2012-13,96.6%,68874,100,Census,95%+
Maine,2012-13,91.3%,14313,94.6,Census,90-94.9%
Maryland,2012-13,98.2%,75007,84.3,Voluntary Response,95%+
Massachusetts,2012-13,94.8%,79661,97.6,Census,90-94.9%
Michigan,2012-13,94.4%,124662,100,Census,90-94.9%
Minnesota,2012-13,96.3%,73310,100,Census,95%+
Mississippi,2012-13,99.9%,46595,100,Census,95%+
Missouri,2012-13,96.7%,78416,5.9,2-stage Cluster Sample,95%+
Montana,2012-13,94.8%,12516,95.8,Census,90-94.9%
Nebraska,2012-13,96.0%,24999,96.6,Census,95%+
Nevada,2012-13,93.6%,36070,4.3,2-stage Cluster Sample,90-94.9%
New Hampshire,2012-13,NA,12943,99.2,Census,NA
New Jersey,2012-13,97.0%,122516,96.7,Census,95%+
New Mexico,2012-13,93.9%,29279,3.3,2-stage Cluster Sample,90-94.9%
New York,2012-13,96.6%,239484,100,Census,95%+
North Carolina,2012-13,NA,130612,97.3,Census,NA
North Dakota,2012-13,89.9%,9503,4.9,2-stage Cluster Sample,Less than 90%
Ohio,2012-13,96.3%,163687,86.9,Census,95%+
Oklahoma,2012-13,90.5%,56943,95.5,Census,90-94.9%
Oregon,2012-13,93.5%,47102,100,Census,90-94.9%
Pennsylvania,2012-13,87.0%,151364,97.5,Census,Less than 90%
Rhode Island,2012-13,94.2%,12552,75.2,Voluntary Response,90-94.9%
South Carolina,2012-13,90.9%,61799,17.9,1-stage Cluster Sample,90-94.9%
South Dakota,2012-13,97.9%,12468,100,Census,95%+
Tennessee,2012-13,94.5%,85801,97.0,Census,90-94.9%
Texas,2012-13,97.5%,414688,96.6,Census,95%+
Utah,2012-13,96.3%,54605,100,Census,95%+
Vermont,2012-13,92.8%,6792,100,Census,90-94.9%
Virginia,2012-13,93.1%,104826,4.2,2-stage Cluster Sample,90-94.9%
Washington,2012-13,91.7%,87773,94.7,Census,90-94.9%
West Virginia,2012-13,96.3%,22588,86.5,Voluntary Response,95%+
Wisconsin,2012-13,92.8%,72416,1.8,2-stage Cluster Sample,90-94.9%
Wyoming,2012-13,97.5%,8133,100,Census,95%+
Alabama,2011-12,93.6%,73190,100,Census,90-94.9%
Alaska,2011-12,NA,10286,7.3,Non-random Cluster Sample,NA
Arizona,2011-12,94.7%,88293,96.9,Census,90-94.9%
Arkansas,2011-12,94.9%,38754,92.2,Census,90-94.9%
California,2011-12,93.2%,542544,97.6,Census,90-94.9%
Colorado,2011-12,86.8%,70142,0.5,Simple Random Sample,Less than 90%
Connecticut,2011-12,97.4%,45695,100,Census,95%+
Delaware,2011-12,96.9%,11327,7.4,2-stage Cluster Sample,95%+
District of Columbia,2011-12,NA,6854,100,Census,NA
Florida,2011-12,92.6%,225532,100,Census,90-94.9%
Georgia,2011-12,96.6%,143065,1.9,2-stage Cluster Sample,95%+
Hawaii,2011-12,NA,19443,7.7,2-stage Cluster Sample,NA
Idaho,2011-12,89.2%,22762,100,Census,Less than 90%
Illinois,2011-12,97.3%,163311,100,Census,95%+
Indiana,2011-12,93.3%,83416,67.5,Voluntary Response,90-94.9%
Iowa,2011-12,91.1%,40978,100,Census,90-94.9%
Kansas,2011-12,88.2%,38402,52.7,Stratified 1-stage Sample  (public);  Census (private),Less than 90%
Kentucky,2011-12,92.0%,58185,91.8,Census,90-94.9%
Louisiana,2011-12,98.1%,69013,100,Census,95%+
Maine,2011-12,93.0%,13829,97.0,Census,90-94.9%
Maryland,2011-12,98.7%,72957,67.2,Voluntary Response,95%+
Massachusetts,2011-12,94.2%,79551,97.5,Census,90-94.9%
Michigan,2011-12,95.0%,124962,100,Census,95%+
Minnesota,2011-12,95.7%,71213,99.2,Census,95%+
Mississippi,2011-12,99.2%,44912,100,Census,95%+
Missouri,2011-12,96.8%,75240,4.7,2-stage Cluster Sample,95%+
Montana,2011-12,95.0%,12128,100,Census,95%+
Nebraska,2011-12,99.0%,26715,96.6,Census,95%+
Nevada,2011-12,95.3%,36557,5.2,2-stage Cluster Sample,95%+
New Hampshire,2011-12,NA,13022,100,Census,NA
New Jersey,2011-12,NA,118669,96.6,Census,NA
New Mexico,2011-12,95.7%,29159,2.0,2-stage Cluster Sample,95%+
New York,2011-12,96.9%,236016,100,Census,95%+
North Carolina,2011-12,NA,128854,95.4,Census,NA
North Dakota,2011-12,90.6%,8412,5.8,Convenient,90-94.9%
Ohio,2011-12,96.1%,146144,94.5,Convenient,95%+
Oklahoma,2011-12,95.0%,52987,90.9,Census,95%+
Oregon,2011-12,94.0%,45855,100,Census,90-94.9%
Pennsylvania,2011-12,86.9%,148042,99.0,Census,Less than 90%
Rhode Island,2011-12,91.7%,12552,13.9,2-stage Cluster Sample,90-94.9%
South Carolina,2011-12,94.5%,59307,10.7,1-stage Cluster Sample,90-94.9%
South Dakota,2011-12,97.4%,12127,100,Census,95%+
Tennessee,2011-12,97.3%,83950,99.9,Census,95%+
Texas,2011-12,99.3%,388178,100,Census,95%+
Utah,2011-12,98.0%,53800,100,Census,95%+
Vermont,2011-12,92.9%,6548,100,Census,90-94.9%
Virginia,2011-12,93.0%,101121,4.3,2-stage Cluster Sample,90-94.9%
Washington,2011-12,91.8%,85134,89.1,Voluntary Response,90-94.9%
West Virginia,2011-12,92.0%,22449,94.9,Convenient,90-94.9%
Wisconsin,2011-12,93.1%,70672,2.3,2-stage Cluster Sample,90-94.9%
Wyoming,2011-12,NA,,NA,Not Conducted,NA
Alabama,2010-11,NA,,NA,NA,NA
Alaska,2010-11,NA,,NA,NA,NA
Arizona,2010-11,NA,,NA,NA,NA
Arkansas,2010-11,NA,,NA,NA,NA
California,2010-11,NA,,NA,NA,NA
Colorado,2010-11,NA,,NA,NA,NA
Connecticut,2010-11,NA,,NA,NA,NA
Delaware,2010-11,NA,,NA,NA,NA
District of Columbia,2010-11,NA,,NA,NA,NA
Florida,2010-11,NA,,NA,NA,NA
Georgia,2010-11,NA,,NA,NA,NA
Hawaii,2010-11,NA,,NA,NA,NA
Idaho,2010-11,NA,,NA,NA,NA
Illinois,2010-11,NA,,NA,NA,NA
Indiana,2010-11,NA,,NA,NA,NA
Iowa,2010-11,NA,,NA,NA,NA
Kansas,2010-11,NA,,NA,NA,NA
Kentucky,2010-11,NA,,NA,NA,NA
Louisiana,2010-11,NA,,NA,NA,NA
Maine,2010-11,NA,,NA,NA,NA
Maryland,2010-11,NA,,NA,NA,NA
Massachusetts,2010-11,NA,,NA,NA,NA
Michigan,2010-11,NA,,NA,NA,NA
Minnesota,2010-11,NA,,NA,NA,NA
Mississippi,2010-11,NA,,NA,NA,NA
Missouri,2010-11,NA,,NA,NA,NA
Montana,2010-11,NA,,NA,NA,NA
Nebraska,2010-11,NA,,NA,NA,NA
Nevada,2010-11,NA,,NA,NA,NA
New Hampshire,2010-11,NA,,NA,NA,NA
New Jersey,2010-11,NA,,NA,NA,NA
New Mexico,2010-11,NA,,NA,NA,NA
New York,2010-11,NA,,NA,NA,NA
North Carolina,2010-11,NA,,NA,NA,NA
North Dakota,2010-11,NA,,NA,NA,NA
Ohio,2010-11,NA,,NA,NA,NA
Oklahoma,2010-11,NA,,NA,NA,NA
Oregon,2010-11,NA,,NA,NA,NA
Pennsylvania,2010-11,NA,,NA,NA,NA
Rhode Island,2010-11,NA,,NA,NA,NA
South Carolina,2010-11,NA,,NA,NA,NA
South Dakota,2010-11,NA,,NA,NA,NA
Tennessee,2010-11,NA,,NA,NA,NA
Texas,2010-11,NA,,NA,NA,NA
Utah,2010-11,NA,,NA,NA,NA
Vermont,2010-11,NA,,NA,NA,NA
Virginia,2010-11,NA,,NA,NA,NA
Washington,2010-11,NA,,NA,NA,NA
West Virginia,2010-11,NA,,NA,NA,NA
Wisconsin,2010-11,NA,,NA,NA,NA
Wyoming,2010-11,NA,,NA,NA,NA
Alabama,2009-10,94.0%,75358,100,Census,90-94.9%
Alaska,2009-10,NA,9641,76.4,Voluntary Response,NA
Arizona,2009-10,95.0%,89287,93.9,Census,95%+
Arkansas,2009-10,98.3%,34733,100,Census,95%+
California,2009-10,93.6%,507191,100,Census,90-94.9%
Colorado,2009-10,NA,,NA,Not Conducted,NA
Connecticut,2009-10,98.5%,46158,100,Census,95%+
Delaware,2009-10,89.7%,11327,9.2,Random Sample,Less than 90%
District of Columbia,2009-10,NA,6092,100,Census,NA
Florida,2009-10,91.3%,218630,100,Census,90-94.9%
Georgia,2009-10,99.6%,141949,1.2,Random Sample,95%+
Hawaii,2009-10,NA,18427,6.4,Random Sample,NA
Idaho,2009-10,87.0%,22624,100,Census,Less than 90%
Illinois,2009-10,94.5%,165845,100,Census,90-94.9%
Indiana,2009-10,92.8%,84390,94.7,Census,90-94.9%
Iowa,2009-10,84.5%,42698,100,Census,Less than 90%
Kansas,2009-10,90.9%,39073,39.1,Stratified 1-stage Sample  (public);  Census (private),90-94.9%
Kentucky,2009-10,92.2%,56526,92.9,Census,90-94.9%
Louisiana,2009-10,96.9%,53846,100,Census,95%+
Maine,2009-10,95.5%,14162,75.3,Voluntary Response,95%+
Maryland,2009-10,98.9%,75061,75.0,Voluntary Response,95%+
Massachusetts,2009-10,93.0%,74476,100,Census,90-94.9%
Michigan,2009-10,95.3%,129810,100,Census,95%+
Minnesota,2009-10,95.1%,70653,100,Census,95%+
Mississippi,2009-10,99.7%,46922,100,Census,95%+
Missouri,2009-10,97.3%,75958,3.0,Random Sample,95%+
Montana,2009-10,95.5%,12335,98.8,Census,95%+
Nebraska,2009-10,97.5%,29607,96.4,Census,95%+
Nevada,2009-10,94.5%,35209,5.6,Random Sample,90-94.9%
New Hampshire,2009-10,NA,,NA,Not Conducted,NA
New Jersey,2009-10,NA,118347,95.1,Census,NA
New Mexico,2009-10,97.6%,26318,2.2,Random Sample,95%+
New York,2009-10,97.6%,229273,100,Census,95%+
North Carolina,2009-10,NA,116087,96.0,Census,NA
North Dakota,2009-10,92.2%,8323,6.0,Random Sample,90-94.9%
Ohio,2009-10,88.6%,131137,100,Census,Less than 90%
Oklahoma,2009-10,97.3%,51128,88.9,Voluntary Response,95%+
Oregon,2009-10,94.4%,44676,100,Census,90-94.9%
Pennsylvania,2009-10,86.9%,149656,100,Census,Less than 90%
Rhode Island,2009-10,92.1%,11818,11.6,Random Sample,90-94.9%
South Carolina,2009-10,87.2%,53725,10.2,Random Sample,Less than 90%
South Dakota,2009-10,96.8%,11499,100,Census,95%+
Tennessee,2009-10,97.4%,90811,88.1,Voluntary Response,95%+
Texas,2009-10,98.1%,381425,98.3,Census,95%+
Utah,2009-10,97.7%,49957,100,Census,95%+
Vermont,2009-10,91.8%,6713,100,Census,90-94.9%
Virginia,2009-10,92.1%,100891,4.4,Random Sample,90-94.9%
Washington,2009-10,91.7%,81511,93.3,Census,90-94.9%
West Virginia,2009-10,91.2%,22730,86.7,Voluntary Response,90-94.9%
Wisconsin,2009-10,94.2%,61095,2.3,Random Sample,90-94.9%
Wyoming,2009-10,NA,,NA,Not Conducted,NA