source;week_start;week_end;cases
https://www.cdc.gov/measles/data-research/index.html;01/01/23;07/01/23;0
https://www.cdc.gov/measles/data-research/index.html;08/01/23;14/01/23;1
https://www.cdc.gov/measles/data-research/index.html;15/01/23;21/01/23;1
https://www.cdc.gov/measles/data-research/index.html;22/01/23;28/01/23;0
https://www.cdc.gov/measles/data-research/index.html;29/01/23;04/02/23;0
https://www.cdc.gov/measles/data-research/index.html;05/02/23;11/02/23;0
https://www.cdc.gov/measles/data-research/index.html;12/02/23;18/02/23;0
https://www.cdc.gov/measles/data-research/index.html;19/02/23;25/02/23;1
https://www.cdc.gov/measles/data-research/index.html;26/02/23;04/03/23;0
https://www.cdc.gov/measles/data-research/index.html;05/03/23;11/03/23;1
https://www.cdc.gov/measles/data-research/index.html;12/03/23;18/03/23;1
https://www.cdc.gov/measles/data-research/index.html;19/03/23;25/03/23;1
https://www.cdc.gov/measles/data-research/index.html;26/03/23;01/04/23;1
https://www.cdc.gov/measles/data-research/index.html;02/04/23;08/04/23;1
https://www.cdc.gov/measles/data-research/index.html;09/04/23;15/04/23;2
https://www.cdc.gov/measles/data-research/index.html;16/04/23;22/04/23;0
https://www.cdc.gov/measles/data-research/index.html;23/04/23;29/04/23;0
https://www.cdc.gov/measles/data-research/index.html;30/04/23;06/05/23;1
https://www.cdc.gov/measles/data-research/index.html;07/05/23;13/05/23;0
https://www.cdc.gov/measles/data-research/index.html;14/05/23;20/05/23;2
https://www.cdc.gov/measles/data-research/index.html;21/05/23;27/05/23;2
https://www.cdc.gov/measles/data-research/index.html;28/05/23;03/06/23;2
https://www.cdc.gov/measles/data-research/index.html;04/06/23;10/06/23;1
https://www.cdc.gov/measles/data-research/index.html;11/06/23;17/06/23;0
https://www.cdc.gov/measles/data-research/index.html;18/06/23;24/06/23;0
https://www.cdc.gov/measles/data-research/index.html;25/06/23;01/07/23;0
https://www.cdc.gov/measles/data-research/index.html;02/07/23;08/07/23;0
https://www.cdc.gov/measles/data-research/index.html;09/07/23;15/07/23;0
https://www.cdc.gov/measles/data-research/index.html;16/07/23;22/07/23;0
https://www.cdc.gov/measles/data-research/index.html;23/07/23;29/07/23;2
https://www.cdc.gov/measles/data-research/index.html;30/07/23;05/08/23;0
https://www.cdc.gov/measles/data-research/index.html;06/08/23;12/08/23;1
https://www.cdc.gov/measles/data-research/index.html;13/08/23;19/08/23;0
https://www.cdc.gov/measles/data-research/index.html;20/08/23;26/08/23;1
https://www.cdc.gov/measles/data-research/index.html;27/08/23;02/09/23;0
https://www.cdc.gov/measles/data-research/index.html;03/09/23;09/09/23;0
https://www.cdc.gov/measles/data-research/index.html;10/09/23;16/09/23;3
https://www.cdc.gov/measles/data-research/index.html;17/09/23;23/09/23;1
https://www.cdc.gov/measles/data-research/index.html;24/09/23;30/09/23;5
https://www.cdc.gov/measles/data-research/index.html;01/10/23;07/10/23;5
https://www.cdc.gov/measles/data-research/index.html;08/10/23;14/10/23;1
https://www.cdc.gov/measles/data-research/index.html;15/10/23;21/10/23;1
https://www.cdc.gov/measles/data-research/index.html;22/10/23;28/10/23;0
https://www.cdc.gov/measles/data-research/index.html;29/10/23;04/11/23;2
https://www.cdc.gov/measles/data-research/index.html;05/11/23;11/11/23;1
https://www.cdc.gov/measles/data-research/index.html;12/11/23;18/11/23;0
https://www.cdc.gov/measles/data-research/index.html;19/11/23;25/11/23;0
https://www.cdc.gov/measles/data-research/index.html;26/11/23;02/12/23;0
https://www.cdc.gov/measles/data-research/index.html;03/12/23;09/12/23;2
https://www.cdc.gov/measles/data-research/index.html;10/12/23;16/12/23;2
https://www.cdc.gov/measles/data-research/index.html;17/12/23;23/12/23;3
https://www.cdc.gov/measles/data-research/index.html;24/12/23;30/12/23;11
https://www.cdc.gov/measles/data-research/index.html;31/12/23;06/01/24;4
https://www.cdc.gov/measles/data-research/index.html;07/01/24;13/01/24;4
https://www.cdc.gov/measles/data-research/index.html;14/01/24;20/01/24;2
https://www.cdc.gov/measles/data-research/index.html;21/01/24;27/01/24;2
https://www.cdc.gov/measles/data-research/index.html;28/01/24;03/02/24;5
https://www.cdc.gov/measles/data-research/index.html;04/02/24;10/02/24;3
https://www.cdc.gov/measles/data-research/index.html;11/02/24;17/02/24;14
https://www.cdc.gov/measles/data-research/index.html;18/02/24;24/02/24;9
https://www.cdc.gov/measles/data-research/index.html;25/02/24;02/03/24;6
https://www.cdc.gov/measles/data-research/index.html;03/03/24;09/03/24;3
https://www.cdc.gov/measles/data-research/index.html;10/03/24;16/03/24;12
https://www.cdc.gov/measles/data-research/index.html;17/03/24;23/03/24;38
https://www.cdc.gov/measles/data-research/index.html;24/03/24;30/03/24;9
https://www.cdc.gov/measles/data-research/index.html;31/03/24;06/04/24;10
https://www.cdc.gov/measles/data-research/index.html;07/04/24;13/04/24;4
https://www.cdc.gov/measles/data-research/index.html;14/04/24;20/04/24;3
https://www.cdc.gov/measles/data-research/index.html;21/04/24;27/04/24;4
https://www.cdc.gov/measles/data-research/index.html;28/04/24;04/05/24;0
https://www.cdc.gov/measles/data-research/index.html;05/05/24;11/05/24;4
https://www.cdc.gov/measles/data-research/index.html;12/05/24;18/05/24;5
https://www.cdc.gov/measles/data-research/index.html;19/05/24;25/05/24;5
https://www.cdc.gov/measles/data-research/index.html;26/05/24;01/06/24;6
https://www.cdc.gov/measles/data-research/index.html;02/06/24;08/06/24;0
https://www.cdc.gov/measles/data-research/index.html;09/06/24;15/06/24;4
https://www.cdc.gov/measles/data-research/index.html;16/06/24;22/06/24;4
https://www.cdc.gov/measles/data-research/index.html;23/06/24;29/06/24;3
https://www.cdc.gov/measles/data-research/index.html;30/06/24;06/07/24;7
https://www.cdc.gov/measles/data-research/index.html;07/07/24;13/07/24;13
https://www.cdc.gov/measles/data-research/index.html;14/07/24;20/07/24;11
https://www.cdc.gov/measles/data-research/index.html;21/07/24;27/07/24;7
https://www.cdc.gov/measles/data-research/index.html;28/07/24;03/08/24;12
https://www.cdc.gov/measles/data-research/index.html;04/08/24;10/08/24;7
https://www.cdc.gov/measles/data-research/index.html;11/08/24;17/08/24;9
https://www.cdc.gov/measles/data-research/index.html;18/08/24;24/08/24;8
https://www.cdc.gov/measles/data-research/index.html;25/08/24;31/08/24;11
https://www.cdc.gov/measles/data-research/index.html;01/09/24;07/09/24;10
https://www.cdc.gov/measles/data-research/index.html;08/09/24;14/09/24;3
https://www.cdc.gov/measles/data-research/index.html;15/09/24;21/09/24;3
https://www.cdc.gov/measles/data-research/index.html;22/09/24;28/09/24;1
https://www.cdc.gov/measles/data-research/index.html;29/09/24;05/10/24;2
https://www.cdc.gov/measles/data-research/index.html;06/10/24;12/10/24;1
https://www.cdc.gov/measles/data-research/index.html;13/10/24;19/10/24;3
https://www.cdc.gov/measles/data-research/index.html;20/10/24;26/10/24;1
https://www.cdc.gov/measles/data-research/index.html;27/10/24;02/11/24;3
https://www.cdc.gov/measles/data-research/index.html;03/11/24;09/11/24;4
https://www.cdc.gov/measles/data-research/index.html;10/11/24;16/11/24;3
https://www.cdc.gov/measles/data-research/index.html;17/11/24;23/11/24;0
https://www.cdc.gov/measles/data-research/index.html;24/11/24;30/11/24;2
https://www.cdc.gov/measles/data-research/index.html;01/12/24;07/12/24;0
https://www.cdc.gov/measles/data-research/index.html;08/12/24;14/12/24;0
https://www.cdc.gov/measles/data-research/index.html;15/12/24;21/12/24;0
https://www.cdc.gov/measles/data-research/index.html;22/12/24;28/12/24;1
https://www.cdc.gov/measles/data-research/index.html;29/12/24;04/01/25;1
https://www.cdc.gov/measles/data-research/index.html;05/01/25;11/01/25;2
https://www.cdc.gov/measles/data-research/index.html;12/01/25;18/01/25;1
https://www.cdc.gov/measles/data-research/index.html;19/01/25;25/01/25;6
https://www.cdc.gov/measles/data-research/index.html;26/01/25;01/02/25;13
https://www.cdc.gov/measles/data-research/index.html;02/02/25;08/02/25;21
https://www.cdc.gov/measles/data-research/index.html;09/02/25;15/02/25;52
https://www.cdc.gov/measles/data-research/index.html;16/02/25;22/02/25;57
https://www.cdc.gov/measles/data-research/index.html;23/02/25;01/03/25;11